/usr/lib/arm-linux-gnueabihf/libschroedinger-1.0.so.0.11.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xf2cc9531024943b7f041a499ff28da4c7997e2d3, stripped
/usr/lib/arm-linux-gnueabihf/libopenjpeg-2.1.3.0.so: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xf472a6022d8bcf6a80101634ed29887499665af6, stripped
/usr/lib/arm-linux-gnueabihf/libmp3lame.so.0.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x47b41524c6991e926cac340aac3d65a7f7a52732, stripped
/usr/lib/arm-linux-gnueabihf/libgsm.so.1.0.12: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xdc1ec2c201488c84c6c194086335a8ca238cfdc0, stripped
/usr/lib/arm-linux-gnueabihf/libdirac_encoder.so.0.1.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xa06a464f369be8385e3796b020f3eb2d1b417335, stripped
/usr/lib/arm-linux-gnueabihf/libva.so.1.3200.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x8cef6f184b09ba31206a54783d4ad5c04a5c2db5, stripped
/usr/lib/arm-linux-gnueabihf/librtmp.so.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x80d3d80a00e6f7782fa8bc690f32281fc4f9601c, stripped
/usr/lib/arm-linux-gnueabihf/libgnutls.so.26.22.4: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xa2d98d46c72da6f70b605cbb157aca202386b99c, stripped
/lib/arm-linux-gnueabihf/libbz2.so.1.0.4: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x8549a0f2d429a03f852928810cd807a0faad9c8a, stripped
/usr/lib/arm-linux-gnueabihf/libraw1394.so.11.0.1: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xb4fb92c8b2468e5bbce4d9697acb9566af0a82d9, stripped
/lib/arm-linux-gnueabihf/libusb-1.0.so.0.1.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0xff87166a6fa5ed944fd844a9ebdc828fa2986631, stripped
/usr/lib/arm-linux-gnueabihf/libv4l2.so.0.0.0: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x4041b054417a7d06461cd22fce48717bcb9cbe42, stripped
/usr/lib/arm-linux-gnueabihf/libgmodule-2.0.so.0.3200.4: ELF 32-bit LSB shared object, ARM, version 1 (SYSV), dynamically linked, BuildID[sha1]=0x2439ca0f24b9dd912d757e964b2a77091b38ec09, stripped
